learn_id,pokemon_id,move_id,pokemon_name_en,move_name_en,gen,method,method_transfer,learn_level
1,1,352,Bulbasaur,Growl,9,level_up,,1
2,1,830,Bulbasaur,Tackle,9,level_up,,1
3,1,897,Bulbasaur,Vine Whip,9,level_up,,3
4,1,353,Bulbasaur,Growth,9,level_up,,6
5,1,451,Bulbasaur,Leech Seed,9,level_up,,9
6,1,647,Bulbasaur,Razor Leaf,9,level_up,,12
7,1,595,Bulbasaur,Poison Powder,9,level_up,,15
8,1,739,Bulbasaur,Sleep Powder,9,level_up,,15
9,1,701,Bulbasaur,Seed Bomb,9,level_up,,18
10,1,835,Bulbasaur,Take Down,9,level_up,,21
11,1,822,Bulbasaur,Sweet Scent,9,level_up,,24
12,1,827,Bulbasaur,Synthesis,9,level_up,,27
13,1,926,Bulbasaur,Worry Seed,9,level_up,,30
14,1,611,Bulbasaur,Power Whip,9,level_up,,33
15,1,757,Bulbasaur,Solar Beam,9,level_up,,36
16,1,154,Bulbasaur,Curse,9,egg,,1
17,1,423,Bulbasaur,Ingrain,9,egg,,1
18,1,583,Bulbasaur,Petal Dance,9,egg,,1
19,1,869,Bulbasaur,Toxic,9,egg,,1
20,1,835,Bulbasaur,Take Down,9,TM,,0
21,1,111,Bulbasaur,Charm,9,TM,,0
22,1,616,Bulbasaur,Protect,9,TM,,0
23,1,7,Bulbasaur,Acid Spray,9,TM,,0
24,1,872,Bulbasaur,Trailblaze,9,TM,,0
25,1,234,Bulbasaur,Facade,9,TM,,0
26,1,474,Bulbasaur,Magical Leaf,9,TM,,0
27,1,895,Bulbasaur,Venoshock,9,TM,,0
28,1,223,Bulbasaur,Endure,9,TM,,0
29,1,810,Bulbasaur,Sunny Day,9,TM,,0
30,1,98,Bulbasaur,Bullet Seed,9,TM,,0
31,1,240,Bulbasaur,False Swipe,9,TM,,0
32,1,75,Bulbasaur,Body Slam,9,TM,,0
33,1,740,Bulbasaur,Sleep Talk,9,TM,,0
34,1,701,Bulbasaur,Seed Bomb,9,TM,,0
35,1,345,Bulbasaur,Grass Knot,9,TM,,0
36,1,656,Bulbasaur,Rest,9,TM,,0
37,1,825,Bulbasaur,Swords Dance,9,TM,,0
38,1,807,Bulbasaur,Substitute,9,TM,,0
39,1,336,Bulbasaur,Giga Drain,9,TM,,0
40,1,224,Bulbasaur,Energy Ball,9,TM,,0
